image,time,treatment,dist_sheath_trunc,H_vigne,P_vigne,Hue_vigne,Hue_rang
Core/Images/image_train/image/4j7g2wk9_2024-04-19_104603_7_18.jpg,2024-04-19,DVITI,74.0625,0.281,0.824,46.11,76.42
Core/Images/image_train/image/4j7g2wk9_2024-05-01_140147_8_4.jpg,2024-05-01,DVITI,74.0625,0.348,0.695,47.14,71.81
Core/Images/image_train/image/4j7g2wk9_2024-05-14_140146_8_4.jpg,2024-05-14,DVITI,74.0625,0.391,0.434,61.26,72.56
Core/Images/image_train/image/4j7g2wk9_2024-05-28_140146_7_92.jpg,2024-05-28,DVITI,74.0625,0.329,0.478,74.78,91.78
Core/Images/image_train/image/4j7g2wk9_2024-06-04_140146_7_92.jpg,2024-06-04,DVITI,74.0625,0.401,0.431,84.12,91.47
Core/Images/image_train/image/4j7g2wk9_2024-06-15_121749_7_98.jpg,2024-06-15,DVITI,74.0625,0.421,0.231,76.54,121.65
Core/Images/image_train/image/4j7g2wk9_2024-06-25_140145_8_4.jpg,2024-06-25,DVITI,74.0625,0.416,0.241,67.88,124.59
Core/Images/image_train/image/4j7g2wk9_2024-07-05_140146_7_80.jpg,2024-07-05,DVITI,74.0625,0.653,0.272,62.25,72.81
Core/Images/image_train/image/4j7g2wk9_2024-07-13_140147_8_22.jpg,2024-07-13,DVITI,74.0625,0.651,0.26,64.27,84.07
Core/Images/image_train/image/4j7g2wk9_2024-07-25_140146_8_4.jpg,2024-07-25,DVITI,74.0625,0.919,0.29,47.84,33.46
Core/Images/image_train/image/4j7g2wk9_2024-08-15_140148_7_80.jpg,2024-08-15,DVITI,74.0625,0.93,0.311,55.76,171.49
Core/Images/image_train/image/79bt3wkh_2024-04-19_103246_8_4.jpg,2024-04-19,TVITI,108.75,0.372,0.921,46.17,102.63
Core/Images/image_train/image/79bt3wkh_2024-05-01_130143_8_10.jpg,2024-05-01,TVITI,108.75,0.431,0.872,43.63,41.0
Core/Images/image_train/image/79bt3wkh_2024-05-14_130143_8_4.jpg,2024-05-14,TVITI,108.75,0.504,0.748,51.1,41.05
Core/Images/image_train/image/79bt3wkh_2024-05-28_130142_7_0.jpg,2024-05-28,TVITI,108.75,0.517,0.597,71.22,109.03
Core/Images/image_train/image/79bt3wkh_2024-06-04_130144_6_88.jpg,2024-06-04,TVITI,108.75,0.537,0.49,69.42,83.19
Core/Images/image_train/image/79bt3wkh_2024-06-15_130144_7_92.jpg,2024-06-15,TVITI,108.75,0.581,0.331,79.37,117.44
Core/Images/image_train/image/79bt3wkh_2024-06-25_130143_7_73.jpg,2024-06-25,TVITI,108.75,0.593,0.261,88.11,192.42
Core/Images/image_train/image/79bt3wkh_2024-07-05_130143_7_86.jpg,2024-07-05,TVITI,108.75,0.581,0.223,84.82,181.84
Core/Images/image_train/image/79bt3wkh_2024-07-13_130143_7_55.jpg,2024-07-13,TVITI,108.75,0.594,0.199,86.16,172.92
Core/Images/image_train/image/79bt3wkh_2024-07-25_130142_8_10.jpg,2024-07-25,TVITI,108.75,0.66,0.22,87.04,217.2
Core/Images/image_train/image/79bt3wkh_2024-08-15_130142_7_86.jpg,2024-08-15,TVITI,108.75,0.706,0.269,84.26,224.13
Core/Images/image_train/image/7s3a5abm_2024-04-19_101402_8_10.jpg,2024-04-19,AVITI,0.0,0.225,0.926,50.87,61.31
Core/Images/image_train/image/7s3a5abm_2024-05-01_130142_7_98.jpg,2024-05-01,AVITI,0.0,0.305,0.85,48.98,55.16
Core/Images/image_train/image/7s3a5abm_2024-05-14_130142_7_92.jpg,2024-05-14,AVITI,0.0,0.46,0.685,57.42,59.83
Core/Images/image_train/image/7s3a5abm_2024-05-28_130144_7_80.jpg,2024-05-28,AVITI,0.0,0.532,0.486,71.7,87.54
Core/Images/image_train/image/7s3a5abm_2024-06-04_130143_7_73.jpg,2024-06-04,AVITI,0.0,0.566,0.487,72.95,86.79
Core/Images/image_train/image/7s3a5abm_2024-06-15_130143_8_16.jpg,2024-06-15,AVITI,0.0,0.473,0.468,65.48,122.28
Core/Images/image_train/image/7s3a5abm_2024-06-25_130143_8_10.jpg,2024-06-25,AVITI,0.0,0.583,0.476,68.1,101.01
Core/Images/image_train/image/7s3a5abm_2024-07-05_130144_8_4.jpg,2024-07-05,AVITI,0.0,0.581,0.477,64.27,108.48
Core/Images/image_train/image/7s3a5abm_2024-07-13_130143_7_98.jpg,2024-07-13,AVITI,0.0,0.581,0.477,60.91,107.78
Core/Images/image_train/image/7s3a5abm_2024-07-25_130143_8_10.jpg,2024-07-25,AVITI,0.0,0.571,0.521,59.82,80.64
Core/Images/image_train/image/7s3a5abm_2024-08-15_130144_8_16.jpg,2024-08-15,AVITI,0.0,0.579,0.551,56.88,82.23
