time,treatment,dist_sup_tronc,H_vigne,P_vigne,Hue_vigne,Hue_rang
2024-04-03,DVITI,40,0.7824074074074074,0.9992906660949114,44.01,37.11
2024-04-04,DVITI,84,0.10925925925925926,0.9969602874933757,41.56,34.57
2024-04-05,DVITI,173,0.13240740740740742,0.9960876436781609,36.45,36.8
2024-04-06,DVITI,74,0.11574074074074074,0.9921925484652666,33.7,37.16
2024-04-07,DVITI,73,0.125,0.9914994959677419,34.75,37.45
2024-04-08,DVITI,69,0.09074074074074075,0.9911889542748917,34.2,38.17
2024-04-09,DVITI,86,0.19166666666666668,0.9922360452869932,39.15,48.56
2024-04-10,DVITI,47,0.2111111111111111,0.9852920081967214,32.59,41.95
2024-04-11,DVITI,23,0.15833333333333333,0.9797710466439136,37.28,42.08
2024-04-12,DVITI,32,0.1814814814814815,0.968766438261351,35.69,40.54
2024-04-19,DVITI,79,0.6601851851851852,0.807169459962756,45.9,77.36
2024-04-24,DVITI,85,0.3472222222222222,0.7634219973890339,44.38,77.58
2024-04-25,DVITI,58,0.33425925925925926,0.6960383260447036,42.51,73.39
2024-04-26,DVITI,57,0.31851851851851853,0.7180317662779397,46.44,79.03
2024-04-27,DVITI,73,0.35833333333333334,0.6863868464052287,46.11,74.2
2024-04-28,DVITI,79,0.36203703703703705,0.6742722800925925,45.8,75.32
2024-04-29,DVITI,79,0.337037037037037,0.651569693830571,46.83,74.07
2024-04-30,DVITI,82,0.39537037037037037,0.6549565018315018,47.9,74.75
2024-05-01,DVITI,71,0.3592592592592593,0.6323345762310606,47.75,72.01
2024-05-02,DVITI,52,0.3611111111111111,0.599560497997998,46.75,76.74
2024-05-03,DVITI,36,0.362962962962963,0.5690398977987421,46.66,71.35
2024-05-04,DVITI,52,0.3888888888888889,0.6039809919436052,49.43,76.89
2024-05-05,DVITI,71,0.3685185185185185,0.6170443814919736,50.6,76.92
2024-05-06,DVITI,86,0.3638888888888889,0.5707795516304348,52.29,79.67
2024-05-07,DVITI,65,0.3472222222222222,0.5680383963178295,50.29,82.4
2024-05-08,DVITI,33,0.3648148148148148,0.4703419811320755,55.21,86.24
2024-05-09,DVITI,71,0.362962962962963,0.5253145773979108,55.97,80.25
2024-05-10,DVITI,76,0.36944444444444446,0.4923630617977528,58.98,80.8
2024-05-11,DVITI,75,0.37592592592592594,0.4742209383753501,61.45,80.67
2024-05-12,DVITI,66,0.37962962962962965,0.4326609029779059,65.22,86.4
2024-05-13,DVITI,66,0.38796296296296295,0.38819594109195404,66.44,86.45
2024-05-14,DVITI,75,0.375,0.36484519675925925,61.56,73.03
2024-05-28,DVITI,105,0.3175925925925926,0.4602014243197279,75.36,91.97
2024-05-30,DVITI,98,0.3111111111111111,0.5247395833333334,68.66,85.89
2024-05-31,DVITI,74,0.37222222222222223,0.4529958445642408,73.24,90.2
2024-06-01,DVITI,75,0.3675925925925926,0.5255222371967655,63.95,80.25
2024-06-02,DVITI,87,0.337037037037037,0.5773390151515152,71.57,86.74
2024-06-03,DVITI,153,0.36203703703703705,0.5529463956489675,68.75,81.77
2024-06-04,DVITI,162,0.41574074074074074,0.490193721719457,84.03,92.03
2024-06-15,DVITI,82,0.41944444444444445,0.16984045358649788,76.7,120.7
2024-06-16,DVITI,77,0.4009259259259259,0.1391502490942029,72.65,144.79
2024-06-17,DVITI,83,0.5685185185185185,0.21674412393162393,71.16,151.29
2024-06-18,DVITI,71,0.4083333333333333,0.14830801908752328,73.02,153.9
2024-06-19,DVITI,80,0.39814814814814814,0.13816902624309393,72.8,154.55
2024-06-20,DVITI,82,0.40370370370370373,0.17159632034632036,65.09,156.57
2024-06-21,DVITI,82,0.41203703703703703,0.1632467049319728,65.97,162.74
2024-06-22,DVITI,85,0.412962962962963,0.1799056154822335,74.84,169.04
2024-06-23,DVITI,71,0.41574074074074074,0.15405765503875968,78.72,136.84
2024-06-24,DVITI,91,0.4083333333333333,0.19728194103194102,69.43,133.28
2024-06-25,DVITI,68,0.41574074074074074,0.14628073324630114,68.09,124.55
2024-06-26,DVITI,68,0.4185185185185185,0.1481946243523316,70.57,129.97
2024-06-27,DVITI,75,0.4083333333333333,0.10119476877289377,68.22,130.8
2024-06-28,DVITI,69,0.41203703703703703,0.13433420365535248,69.07,122.24
2024-06-29,DVITI,62,0.5601851851851852,0.1515654315196998,68.42,109.11
2024-06-30,DVITI,64,0.612037037037037,0.16012005649717514,65.82,93.82
2024-07-01,DVITI,67,0.6388888888888888,0.17995428901576943,65.63,97.55
2024-07-02,DVITI,65,0.6277777777777778,0.302640483276644,61.64,49.09
2024-07-03,DVITI,54,0.637962962962963,0.16339139344262296,64.93,93.69
2024-07-04,DVITI,73,0.6453703703703704,0.19892083985393844,64.55,79.19
2024-07-05,DVITI,67,0.6518518518518519,0.19329468029350105,63.12,73.01
2024-07-07,DVITI,66,0.65,0.175558562992126,67.33,95.0
2024-07-09,DVITI,65,0.6518518518518519,0.18681022547468354,67.34,91.95
2024-07-11,DVITI,75,0.6546296296296297,0.19421465716486902,66.47,79.63
2024-07-12,DVITI,72,0.6583333333333333,0.18025934702474986,66.92,84.47
2024-07-13,DVITI,61,0.6518518518518519,0.17531349522292994,65.01,84.44
2024-07-14,DVITI,56,0.85,0.17802879511677283,65.73,84.46
2024-07-15,DVITI,63,0.6611111111111111,0.19003693623639192,62.89,87.26
2024-07-16,DVITI,69,0.7962962962962963,0.24723315491183878,57.96,43.12
2024-07-17,DVITI,72,0.8444444444444444,0.2347134792166267,57.0,40.37
2024-07-18,DVITI,71,0.9203703703703704,-0.3065146683673469,53.81,38.58
2024-07-19,DVITI,67,0.8731481481481481,0.2288484804490902,56.1,44.71
2024-07-20,DVITI,65,0.8870370370370371,0.22008055235903337,48.34,32.73
2024-07-21,DVITI,58,0.8870370370370371,0.2165896843725943,53.45,37.95
2024-07-22,DVITI,58,0.8861111111111111,0.20982787240184758,52.88,36.76
2024-07-23,DVITI,51,0.8944444444444445,0.20120389344262296,48.12,32.08
2024-07-24,DVITI,45,0.8944444444444445,0.20219401810310902,49.38,36.91
2024-07-25,DVITI,57,0.8962962962962963,0.22741321415058646,49.41,33.68
2024-07-26,DVITI,59,0.8916666666666667,0.21277298850574713,55.78,41.43
2024-07-27,DVITI,60,0.9,0.22129341260853153,52.31,37.71
2024-07-28,DVITI,59,0.899074074074074,0.21265517979452056,55.34,37.42
2024-07-29,DVITI,66,0.899074074074074,0.2194988452111614,55.21,38.01
2024-07-30,DVITI,62,0.9166666666666666,0.21202803203661327,48.8,29.32
2024-07-31,DVITI,59,0.9083333333333333,0.22609570980615734,50.38,32.03
2024-08-01,DVITI,63,0.9018518518518519,0.22657599005255255,49.93,31.19
2024-08-02,DVITI,57,0.9092592592592592,0.20664287773933102,49.8,28.95
2024-08-03,DVITI,59,0.9074074074074074,0.22700731660965412,47.39,27.89
2024-08-04,DVITI,59,0.9148148148148149,-0.30017460317460315,47.91,27.45
2024-08-05,DVITI,55,0.9166666666666666,0.21128175957527492,47.59,26.78
2024-08-06,DVITI,59,0.9259259259259259,0.22697870421753608,48.46,27.37
2024-08-08,DVITI,59,0.9203703703703704,-0.2652697550831793,59.6,67.2
